index,lexeme,cell,phon_form,alignment,stem,exponents,method,index,lexeme,cell,phon_form,alignment,stem,exponents,method
36515,impressionist,0,i m p r e s s i o n i s t,0 1 2 3 4 5 6 7 8 9 10 11 12,"""i m p r e s s i o n i s t -""","""-""","Simple edit score, Progressive alignment",36515,impressionist,0,i m p r e s s i o n i s t,0 1 2 3 4 5 6 7 8 9 10 11 12,"""i m p r e s s i o n i s t -""","""-""","Simple edit score, Progressive alignment with LCS"
36516,impressionist,1,i m p r e s s i o n i s t i c,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,"""i m p r e s s i o n i s t -""","""- i c""","Simple edit score, Progressive alignment",36516,impressionist,1,i m p r e s s i o n i s t i c,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,"""i m p r e s s i o n i s t -""","""- i c""","Simple edit score, Progressive alignment with LCS"
36517,impressionist,2,i m p r e s s i o n i s t i c a l l y,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18,"""i m p r e s s i o n i s t -""","""- i c a l l y""","Simple edit score, Progressive alignment",36517,impressionist,2,i m p r e s s i o n i s t i c a l l y,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18,"""i m p r e s s i o n i s t -""","""- i c a l l y""","Simple edit score, Progressive alignment with LCS"
36518,impressionist,3,i m p r e s s i o n i s t s,0 1 2 3 4 5 6 7 8 9 10 11 12 19,"""i m p r e s s i o n i s t -""","""- s""","Simple edit score, Progressive alignment",36518,impressionist,3,i m p r e s s i o n i s t s,0 1 2 3 4 5 6 7 8 9 10 11 12 19,"""i m p r e s s i o n i s t -""","""- s""","Simple edit score, Progressive alignment with LCS"
27125,five-day week,0,f i v e - d a y _ w e e k,0 1 2 3 5 6 7 8 9 10 11 12,"""f i v e - d a y _ w e e k""","""-""","Simple edit score, Progressive alignment",27125,five-day week,0,f i v e - d a y _ w e e k,0 1 2 3 5 6 7 8 9 10 11 12,"""f i v e - d a y _ w e e k""","""-""","Simple edit score, Progressive alignment with LCS"
46644,native,0,n a t i v e,0 1 2 3 4 9,"""n a t i v -""","""- e""","Simple edit score, Progressive alignment",46644,native,0,n a t i v e,0 1 2 3 4 9,"""n a t i v -""","""- e""","Simple edit score, Progressive alignment with LCS"
46645,native,1,n a t i v e s,0 1 2 3 4 9 10,"""n a t i v -""","""- e s""","Simple edit score, Progressive alignment",46645,native,1,n a t i v e s,0 1 2 3 4 9 10,"""n a t i v -""","""- e s""","Simple edit score, Progressive alignment with LCS"
46646,native,2,n a t i v i t i e s,0 1 2 3 4 5 6 8 9 10,"""n a t i v -""","""- i t i e s""","Simple edit score, Progressive alignment",46646,native,2,n a t i v i t i e s,0 1 2 3 4 5 6 8 9 10,"""n a t i v -""","""- i t i e s""","Simple edit score, Progressive alignment with LCS"
46647,native,3,n a t i v i t y,0 1 2 3 4 5 6 7,"""n a t i v -""","""- i t y""","Simple edit score, Progressive alignment",46647,native,3,n a t i v i t y,0 1 2 3 4 5 6 7,"""n a t i v -""","""- i t y""","Simple edit score, Progressive alignment with LCS"
5649,bast,0,b a s t,0 1 2 3,"""b a s t""","""-""","Simple edit score, Progressive alignment",5649,bast,0,b a s t,0 1 2 3,"""b a s t""","""-""","Simple edit score, Progressive alignment with LCS"
